NeighborhoodTown,TotalEnrolled,TotalDiagnosed,TotalDiagnosedandMedicated,WomenEnrolled,WomenDiagnosed,WomenDiagnosedMedicated,MenEnrolled,MenDiagnosed,MenDiagnosedMedicated
Plum Borough,1183,125,57,607,65,31,576,60,26
Plum Borough,2263,276,141,1178,152,81,1085,124,60
Plum Borough,2771,279,162,1498,133,65,1273,146,97
Plum Borough,2421,292,170,1278,153,85,1143,139,85
Plum Borough,2658,263,153,1418,133,64,1240,130,89
McKeesport,863,108,70,475,55,33,388,53,37
McKeesport,1777,240,156,1041,143,89,736,97,67
McKeesport,1431,201,113,798,111,47,633,90,66
McKeesport,778,104,70,452,69,48,326,35,22
McKeesport,1626,188,127,938,105,70,688,83,57
McKeesport,915,119,65,541,75,38,374,44,27
McKeesport,643,61,36,350,32,18,293,29,18
McKeesport,1301,152,100,732,87,51,569,65,49
McKeesport,1782,240,158,983,133,86,799,107,72
Wilkinsburg Borough,569,65,32,334,46,23,235,19,9
Wilkinsburg Borough,1127,73,41,635,41,21,492,32,20
Wilkinsburg Borough,476,59,39,276,40,28,200,19,11
Wilkinsburg Borough,635,66,44,370,35,23,265,31,21
Wilkinsburg Borough,450,52,31,263,29,17,187,23,14
Wilkinsburg Borough,591,73,46,339,44,26,252,29,20
Wilkinsburg Borough,2227,318,186,1347,195,116,880,123,70
Wilkinsburg Borough,1400,198,111,822,117,59,578,81,52
Arlington,1197,106,74,669,66,42,528,40,32
Saint Clair,424,38,31,236,23,20,188,15,11
Lincoln-Lemington-Belmar,1159,180,110,708,119,74,451,61,36
North Oakland,1020,115,69,543,64,32,477,51,37
Glen Hazel,1719,241,160,1000,160,108,719,81,52
Beltzhoover,1520,183,100,848,105,62,672,78,38
Sheraden,1660,147,104,939,85,58,721,62,46
Elliott,1464,154,98,796,82,49,668,72,49
Allegheny Center,729,72,37,397,46,24,332,26,13
East Carnegie,781,111,66,415,50,32,366,61,34
Hays Hazelwood,1115,124,84,633,72,48,482,52,36
Fairywood,1469,171,104,849,94,57,620,77,47
Westwood,2032,214,128,1066,121,68,966,93,60
East Allegheny,1006,130,84,541,67,43,465,63,41
Sewickley Hills Borough,850,49,20,438,22,5,412,27,15
563800,2013,300,109,1089,180,60,924,120,49
563900,2179,265,163,1233,149,95,946,116,68
564000,1757,155,88,945,84,49,812,71,39
564100,595,42,21,311,19,8,284,23,13
White Oak Borough,1080,156,89,591,86,48,489,70,41
564400,3299,435,258,1826,232,121,1473,203,137
564500,743,64,34,401,41,18,342,23,16
Lower Lawrenceville,1426,168,74,727,85,42,699,83,32
Polish Hill,676,71,34,370,27,14,306,44,20
Shadyside,945,47,17,491,27,10,454,20,7
Shadyside,1117,37,17,580,22,7,537,15,10
Shadyside,1031,57,28,592,35,16,439,22,12
Shadyside,895,34,16,497,15,5,398,19,11
Shadyside,1910,112,49,1021,50,20,889,62,29
Bloomfield,838,108,58,469,75,39,369,33,19
Bloomfield,605,55,24,310,29,11,295,26,13
Bloomfield,1043,65,32,543,36,16,500,29,16
Friendship,698,35,20,379,17,9,319,18,11
Bloomfield,914,84,54,484,54,33,430,30,21
Central Lawrenceville,924,75,40,494,42,20,430,33,20
Central Lawrenceville,1404,165,93,808,90,50,596,75,43
Bloomfield,811,92,59,441,47,26,370,45,33
980000,,,,,,,,,
980100,5,0,0,4,0,0,0,0,0
980700,22,5,5,10,0,0,12,4,4
